[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.6Al0.4Fe5O8
FILEOPENTIME,15380191.52,06/28/2023,9:18 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.6Al0.4Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,5.67,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,35.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15381378.89,341.562622070313,999.931,0.193773133907253,1.81332402255285E-6,1,15.0002345885404,40.1327056884766,1.98689477391098,10.3100021928549,1.06497201988166,0.100090651489843,25,-0.000290570674399647,0.193765281729887,0.000465038352806862,295.065979,295.0677185,999.931,999.931,59.4279979456409,20.4393886066203,9.2E-6,0,0,0,5906,294.40815,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.06684875,,,,
,15381393.8,342.772888183594,999.931,0.19358867159686,3.63248841190809E-6,1,15.0002345885404,40.1327056884766,1.98691572665545,10.3100021928549,1.06397059687469,0.0999808513682671,25,-0.00029322255789739,0.193580824925978,0.000461767389564969,295.0674133,295.0677185,999.931,999.931,59.9962418791217,20.4380665419083,9.25E-6,0,0,0,5906,294.37535,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.0675659,,,,
,15381408.785,343.983367919922,999.931,0.193410776072808,4.77814457486172E-6,1,15.0002345885404,40.1327056884766,1.98690597973254,10.3100021928549,1.06299003242823,0.0998647072313794,25,-0.000297319228380721,0.193402949865032,0.000457014489881742,295.0674133,295.0678101,999.931,999.931,59.9141708846025,20.4393598936121,9.2E-6,0,0,0,5906,294.3631,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0676117,,,,
,15381423.79,345.306854248047,999.931,0.193233719612197,3.99114541911162E-6,1,15.0002345885404,40.1327056884766,1.98693877096765,10.3100021928549,1.06203429872745,0.0997723559300282,25,-0.000297471817533803,0.193225902826616,0.000456133890413359,295.0678101,295.0684814,999.931,999.931,59.6921883851409,20.4427237296369,9.2E-6,0,0,0,5906,294.3754,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.06814575,,,,
,15381438.765,346.504913330078,999.931,0.19304581675319,2.2820598549468E-6,1,15.0002345885404,40.1327056884766,1.98703015545453,10.3100021928549,1.06104975005726,0.0996743572314406,25,-0.000298220396807788,0.193038007801006,0.000454697439825843,295.0676575,295.0684814,999.931,999.931,59.8883771434679,20.4415654424176,9.2E-6,0,0,0,5906,294.36065,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.06806945,,,,
,15381453.775,347.806732177734,999.931,0.192857839533718,4.27476202485356E-6,1,15.0002345885404,40.1327056884766,1.98726676091918,10.3100021928549,1.06013946482288,0.0995931711699331,25,-0.000297224673461144,0.192850030148851,0.000455034647717862,295.0676575,295.0678406,999.931,999.931,59.976701166141,20.4452437380684,9.2E-6,0,0,0,5906,294.3361,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.06774905,,,,
,15381468.78,349.040283203125,999.931,0.192674685540221,2.90577916402613E-6,1,15.0002345885404,40.1327056884766,1.98717598118941,10.3100021928549,1.05908585707765,0.0994891443970474,25,-0.000297877514802288,0.192666885370352,0.00045369236020563,295.0674744,295.0678406,999.931,999.931,59.3396739229678,20.4384577292114,9.2E-6,0,0,0,5906,294.3279,999.931,,,,,,,,,,,,,,,,,218.515411,,,,,,295.0676575,,,,
,15381483.85,350.251647949219,999.931,0.192494191379462,2.96088669005642E-6,1,15.0002345885404,40.1327056884766,1.98712752944792,10.3100021928549,1.0580681682583,0.0993972869789455,25,-0.000296916182402506,0.192486397377464,0.000453942319435014,295.0674744,295.0675354,999.931,999.931,59.6593599873332,20.4417661660877,9.15E-6,0,0,0,5906,294.3303,999.931,,,,,,,,,,,,,,,,,218.515411,,,,,,295.0675049,,,,
,15381498.97,351.461700439453,999.931,0.192306187165868,1.94150180244867E-6,1,15.0002345885404,40.1327056884766,1.9871334912568,10.3100021928549,1.05703847967442,0.0992938999047269,25,-0.000297849094633251,0.192298400162191,0.00045229870828081,295.0675354,295.0686646,999.931,999.931,59.8766527156794,20.4430244867999,9.15E-6,0,0,0,5906,294.32285,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.0681,,,,
,15381513.905,352.729248046875,999.931,0.192126718649725,3.15866690089116E-6,1,15.0002345885404,40.1327056884766,1.9871780107639,10.3100021928549,1.05607375995148,0.0992170165079894,25,-0.000295183041137833,0.192118917414039,0.000454353976340644,295.0686646,295.0689087,999.931,999.931,59.7187637547948,20.4474320548379,9.2E-6,0,0,0,5906,294.29335,999.931,,,,,,,,,,,,,,,,,218.515411,,,,,,295.06878665,,,,
,15381528.81,354.004333496094,999.931,0.191947339713753,3.6531848515266E-6,1,15.0002345885404,40.1327056884766,1.98704472974677,10.3000016510487,1.05501936813436,0.0991093561961628,25,-0.000296483494852226,0.191939542325261,0.000452378606608046,295.0689087,295.0713196,999.931,999.931,59.3248229811024,20.4455467708468,9.15E-6,0,0,0,5906,294.28515,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.07011415,,,,
,15381543.79,355.27001953125,999.931,0.191754828741554,3.91216106791989E-6,1,15.0002345885404,40.1327056884766,1.98734784363183,10.3100021928549,1.05411677388034,0.0990408596547639,25,-0.000293238205130468,0.191747019701805,0.000454862844325942,295.0713196,295.0721741,999.931,999.931,59.9141708846025,20.4504904064918,9.15E-6,0,0,0,5906,294.2884,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.07174685,,,,
,15381558.84,356.589996337891,999.931,0.191572838674648,3.9435331045723E-6,1,15.0002345885404,40.1327056884766,1.98703800992049,10.3100021928549,1.05295528116447,0.0989377112762578,25,-0.000291975409708136,0.191565023904722,0.00045550974745592,295.0714722,295.0721741,999.931,999.931,60.108796385891,20.4500450801467,9.2E-6,0,0,0,5906,294.25725,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.07182315,,,,
,15381573.91,357.7412109375,999.931,0.191383791540985,4.05539145858082E-6,1,15.0002345885404,40.1327056884766,1.98711860328076,10.3100021928549,1.05196023676504,0.0988193487749381,25,-0.0002962310045655,0.191375998852591,0.000450576091424466,295.0713501,295.0714722,999.931,999.931,59.4287795741601,20.4528433412408,9.2E-6,0,0,0,5906,294.2376,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.07141115,,,,
,15381588.835,358.97265625,999.931,0.191193441837555,1.45067222504041E-6,1,15.0002345885404,40.1327056884766,1.98747418503016,10.3100021928549,1.05109441927557,0.0987728523033727,25,-0.000289684570894111,0.191185630957164,0.00045640903797272,295.0710144,295.0713501,999.931,999.931,59.0012287741409,20.4543460204208,9.15E-6,0,0,0,5906,294.2278,999.931,,,,,,,,,,,,,,,,,218.515411,,,,,,295.07118225,,,,
,15381603.765,360.275421142578,999.931,0.191003159397061,4.12384539066093E-6,1,15.0002345885404,40.1327056884766,1.98714158481598,10.3100021928549,1.04987800896187,0.0986437992335072,25,-0.000292106198692722,0.190995365880638,0.000453295811652609,295.0699463,295.0710144,999.931,999.931,59.8500773460256,20.4570295955191,9.15E-6,0,0,0,5906,294.21095,999.931,,,,,,,,,,,,,,,,,218.515411,,,,,,295.07048035,,,,
